0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
110606,111321,111984,112664,113432,116988,120813,175396,181394,210244,531783,587502,707545,947193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110571,111403,112072,112661,113424,119074,123545,179366,209456,485669,645097,648891,951981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110570,111403,111982,112655,113435,117903,128008,232991,475038,622202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110582,111394,112061,112641,113412,115024,118308,127400,153136,188393,194363,845479,910159,1206966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110603,111397,112069,112654,113432,114975,118870,121842,122564,425607,527683,581877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110601,111408,112069,112654,113421,118477,125547,167069,474605,553428,783479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110613,111404,111980,112660,113436,114707,115950,116774,117362,117906,124777,212935,440508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110607,111391,112055,112641,113412,115163,115846,117972,125743,136596,150857,169209,220473,226329,1074391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110602,111578,112648,113419,116342,117003,117870,128327,143716,183061,188037,200040,346861,406277,766507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110611,111398,111976,112657,113431,115525,118207,119479,135519,137051,173684,175402,210387,216776,321757,888400,1094127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110594,111396,112053,112644,113420,114002,114667,117242,117924,118427,119231,119807,124037,141547,178203,179424,185060,192456,198999,221418,400597,521437,560773,590734,1001383,1044524,-1,-1,-1
110575,111386,112062,112651,113425,116813,117410,197893,204529,827493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110636,111396,111977,112661,113436,114015,115158,115856,121090,122228,161952,204734,211921,216297,511035,585650,587024,931593,961722,962797,1163330,-1,-1,-1,-1,-1,-1,-1,-1
110568,111401,112677,115227,120133,121667,123055,172017,516367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110614,111389,112050,112641,113408,114675,118515,120202,120733,128258,137278,148324,555784,1218708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110664,111396,111982,112663,113433,116105,120840,124075,125380,141566,162617,192361,360070,591340,1030780,1229922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110660,111398,111977,112664,113432,117777,118365,120917,122632,156055,172835,186744,190080,200713,237787,245088,805655,836231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110639,111560,112815,115867,120170,125218,174985,351098,992661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110598,111379,112065,112657,113422,115629,122345,130093,136590,178770,186187,402338,443511,658562,698693,829172,1043279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110632,111347,112053,112639,113904,115351,117243,117819,183042,193928,198120,215895,230396,542973,657002,803837,1003900,1033698,1230880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110640,111399,111969,112649,113236,113922,115969,123370,204665,205721,215514,429258,648808,672053,722044,965988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110632,111481,112066,112644,113226,113911,114428,115172,115848,118390,120991,182260,188921,1047409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110525,111404,111978,112660,113429,113930,115353,123490,216498,223833,234323,246291,469281,517476,706849,973707,1109789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110638,111345,111967,112654,113428,114003,115698,122493,177831,180358,191983,229301,464892,541364,1045855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110640,111401,111985,112667,113244,113929,115027,122914,131129,156432,181977,187448,205982,723685,764807,944326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
