0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
103127,111768,112451,112964,113536,114105,114689,115524,311375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105972,111675,112266,113222,113972,114493,116534,1233094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104880,111403,112265,113234,113804,114769,115366,116959,498476,755433,-1,-1,-1,-1,-1,-1,-1,-1,-1
104081,111277,111779,112450,113224,113814,114484,116054,116856,321381,-1,-1,-1,-1,-1,-1,-1,-1,-1
105054,111384,112259,113119,113620,114394,114964,118900,176130,185120,274715,-1,-1,-1,-1,-1,-1,-1,-1
103333,111411,112272,113166,113809,114418,114962,115570,119242,506702,-1,-1,-1,-1,-1,-1,-1,-1,-1
103612,111773,112462,113162,113716,114477,115272,494601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104354,111684,112280,113050,113627,114202,114724,115274,116070,118848,129693,-1,-1,-1,-1,-1,-1,-1,-1
105119,111277,111777,112277,112869,113626,114399,115089,119232,1183371,-1,-1,-1,-1,-1,-1,-1,-1,-1
104689,111264,111767,112273,112867,113649,114200,114800,115557,116652,117950,-1,-1,-1,-1,-1,-1,-1,-1
104010,111691,112264,113275,114202,114976,115676,410491,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103962,111279,111780,112448,113051,113551,114209,114841,115584,116851,196042,-1,-1,-1,-1,-1,-1,-1,-1
105031,111271,111772,112447,113078,113612,114193,115238,116841,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105686,111265,111765,112267,113180,113821,114340,114965,116201,116857,-1,-1,-1,-1,-1,-1,-1,-1,-1
104104,111399,112268,112834,113509,114121,114899,280564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104810,111271,111772,112455,113196,113807,114329,115090,116542,119658,193181,204357,209310,433304,-1,-1,-1,-1,-1
102913,111765,112269,113150,113699,114203,114904,116146,118035,119653,242833,-1,-1,-1,-1,-1,-1,-1,-1
104771,111390,111898,112531,113514,114135,114937,115725,208329,488414,760945,-1,-1,-1,-1,-1,-1,-1,-1
