0,1,2,3,4,5,6,7,8,9,10,11
111476,116779,121806,135282,142103,147544,-1,-1,-1,-1,-1,-1
111459,116882,122083,127155,135369,140373,148019,159699,180787,-1,-1,-1
111491,116780,121858,144442,153532,158745,166532,175990,186002,-1,-1,-1
111461,116856,122170,134810,142261,147752,156018,176853,-1,-1,-1,-1
111504,116622,121714,127496,135206,140323,146165,153401,159644,-1,-1,-1
111490,116815,122009,140968,149295,175669,-1,-1,-1,-1,-1,-1
111464,116480,121540,132280,138247,152138,159566,-1,-1,-1,-1,-1
111494,116797,121812,130490,138839,148103,-1,-1,-1,-1,-1,-1
111496,116797,121797,143001,150788,158128,173812,-1,-1,-1,-1,-1
111473,116774,121926,127159,133036,139921,148606,161792,192450,-1,-1,-1
111498,116688,121711,127987,134319,140238,149314,163899,169838,186989,193407,-1
111476,116789,121819,130993,138496,143505,150371,155394,165249,182256,-1,-1
111447,116830,122267,127419,135949,144125,151999,167612,-1,-1,-1,-1
111985,117076,122112,129631,136193,145231,-1,-1,-1,-1,-1,-1
111454,116701,121702,131808,142183,149819,155981,166123,-1,-1,-1,-1
111491,116705,121881,143870,149636,154670,163946,169090,-1,-1,-1,-1
111497,116755,121761,130336,135492,141076,146803,-1,-1,-1,-1,-1
111976,117310,122319,132148,139300,147867,162297,170961,183740,-1,-1,-1
111491,116703,121743,127382,135626,144541,152060,-1,-1,-1,-1,-1
111509,116565,121615,127610,134080,142521,148490,160819,169285,174474,-1,-1
111440,116764,121796,135763,141088,146786,154305,-1,-1,-1,-1,-1
111486,116755,121919,132810,138471,144970,154888,-1,-1,-1,-1,-1
111447,116865,122055,137931,146265,152789,-1,-1,-1,-1,-1,-1
111467,116482,121665,136717,144624,151168,168708,-1,-1,-1,-1,-1
111502,116880,122041,137479,142666,153779,163006,168676,175475,-1,-1,-1
111485,116790,121835,128482,135688,144107,149965,162807,168078,193173,-1,-1
111465,116764,121807,127101,134396,143138,148802,154602,-1,-1,-1,-1
111501,116747,121958,140153,145747,-1,-1,-1,-1,-1,-1,-1
111459,116757,121864,135050,141397,148092,154798,207067,-1,-1,-1,-1
111486,116823,121934,134327,139408,148014,163671,169871,-1,-1,-1,-1
111480,116760,121768,132850,140880,-1,-1,-1,-1,-1,-1,-1
111494,116796,121810,127635,132734,139488,144989,150291,160120,167980,181147,-1
111490,116828,121911,134208,140564,146019,151305,158676,169299,188424,-1,-1
111463,116594,121689,136795,142509,147621,153512,-1,-1,-1,-1,-1
111962,117181,122475,137014,144618,152107,161365,-1,-1,-1,-1,-1
111486,116617,121658,132886,141617,148236,155740,165036,-1,-1,-1,-1
