0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
110588,111309,111828,112349,139235,165935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110628,111198,111711,112219,112752,113683,114369,148564,526343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110598,111315,111993,112524,113704,133687,134361,137845,254322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110662,111403,112222,140830,497013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110663,111317,111848,112352,113038,113788,131633,146997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110596,111318,111839,112402,137028,140628,907869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110561,111225,112138,112699,113697,157904,297848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110544,111308,112216,112782,113814,115061,133697,428612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110620,111367,111874,112375,113306,113885,137701,146498,665777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110565,111567,112300,113073,113920,772340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110555,111314,111834,112460,113006,114008,138226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110504,111379,111954,112501,113148,113763,115157,164850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110543,111322,111878,112658,113210,113812,138887,145892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110552,111242,111796,112349,113021,113671,114701,145102,152075,159488,882880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110570,111662,112370,113225,113727,115578,118642,173183,177643,545535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
